Input_SMILES,SMILES,Linkers,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score
C(=O)Nc1cc(O)c(NC(=O)C(C)=O)c(C=C(C)CC(OC)C(O)C(C)C=C(C)COC(N)=O)c1O,COC(CC(C)=Cc1c(O)c2cc(O)c1C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)NC(N)C(=O)N2)C(O)C(C)C=C(C)COC(N)=O,*NC(*)N,721.849,2.6446000000000014,9,13,271.17,11,,Low,Low,Moderate,Moderate,No,3,0.09045258040175909,55
C(=O)Nc1cc(O)c(OC)c(C=C(C)CC(OC)C(OC(=O)CCN)C(C)C=C(C)COC(N)=O)c1O,COc1c(O)cc2c(O)c1C(C)CC(OC)C(OC(=O)CCN)C(C)C=C(C)C(OC(=O)CCN)C(=O)CCC=CC(=O)N2,*C=CCCC(*)=O,619.7120000000002,2.5762,5,12,209.73,8,,High,Low,Moderate,Moderate,No,2,0.1230407004210966,95
C=CC(OC)C(OC(N)=O)C(C)CC(C)=C(N=O)C(CC(C)=Cc1c(O)c(N)cc(O)c1N1CCC1)OC,CCC1=Cc2cccc(c2)C=CC(OC)C(OC(N)=O)C(C(CC(C)c2c(O)cc(N)c(O)c2N2CCC2)OC)=C(C)CC(C)C1OC(N)=O,*c1cccc(*)c1,692.854,6.204600000000005,5,10,192.82,10,,High,High,Moderate,Moderate,No,2,0.08280410978475734,70
C(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CSCC(NC(=O)CCC(=O)O)C(=O)O,C=C1CC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CSCC(NC(=O)CCC(=O)O)C(=O)O1,*CC(*)=C,570.6690000000004,-0.6221299999999932,7,9,229.86999999999995,10,,Low,Low,Low,Moderate,No,2,0.07567902377382586,75
C(O)C(CC(C)Cc1c(O)c(NC(=O)C(C)=CC=CC(OC)COC(=O)NO)cc(O)c1N=CCN(C)C)OC,COC1C=CC=C(C)C(=O)Nc2cc(O)c(N=CCN(C)C)c(c2O)C(C)CC(OC)C(O)C2CC2C1OC(=O)NO,*C1CC1*,590.6740000000004,2.8209,6,11,182.41,6,,High,Low,Moderate,Moderate,Yes,3,0.09472677382867488,65
CCCCCC(=O)Cc1c(Br)c(O)c(Br)c(O)c1C=O,O=C1COC=CCCCCCC(=O)c2c(Br)c(O)c(Br)c(O)c21,*C=COC*,448.1070000000001,4.482600000000004,2,5,83.83000000000001,0,,High,High,Low,High,No,0,0.6118755456388147,200
C(=O)Nc1cc(O)c(NC(=O)c2cccc(OC)c2)c(C=C(C)CC(OC)C(O)C(C)C=C(C)COC(N)=O)c1O,COc1cccc(C(=O)Nc2cc(O)c3c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(O)NC(OC(N)=O)C(C)=CC(C)C(O)C(OC)CC3C)c1,*NC(*)O,828.9570000000001,4.369200000000003,9,14,274.61,7,,Low,High,Moderate,Moderate,No,3,0.10658951044143783,50
NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)CN)C(C)CC)C(C)O,CCC(C)C(NC(=O)C(C)NC(=O)CNC(=O)CCCCNC(=N)N)C(=O)NC1CC(=O)OC(=O)CCNC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC1=O,*CCC(*)=O,782.8970000000002,-3.3473300000000044,11,12,329.19999999999993,17,,Low,Low,Moderate,Moderate,No,3,0.022629367269041804,35
N=C(N)C(Cc1ccc2ccccc2c1)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)CCc1ccc(O)cc1,CCC1NC(=N)C(c2ccc3ccccc3c2)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(c2ccc(O)cc2)CC1=O,*CC(=O)C(*)CC,727.8710000000002,0.8815700000000064,10,8,289.28,11,,Low,Low,Low,Moderate,No,2,0.0755695544337228,85
C(=O)c1c(O)cc(O)c(Cl)c1CC(=CCC=CC1OC1)N=O,CN1C(=O)c2c(O)cc(O)c(Cl)c2C=CC=CC2OC2C1C#N,*C(C#N)N(*)C,332.74300000000005,2.0657799999999997,2,5,97.09,0,,Low,Low,Low,High,No,0,0.7087410339913284,205
